"PRODUCTION_NO"	"CHANNEL_ID"	"START_TIME"	"FIRST_PUB"	"PUB_DESCRIPTION"	"PUB_SOURCE_URL"	"PUB_TITLE"	"LAST_CHANGED_DATE"	"ON_DEMAND_FILENAME"	"PUB_SOURCE_URL_UPPER"	"ON_DEMAND_RESOURCE_PATH_UPPER"	"PUBLIC_URL"
802330720	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001720016"	"Brunst"	12-06-2012 12:01	"53764_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000001720016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/09-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001720016"
506100460	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001730016"	"Hitlisten "	12-06-2012 12:01	"54887_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000001730016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/28-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001730016"
808420770	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001740016"	"Mabel"	12-06-2012 12:01	"64298_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000001740016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2010/5/12/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001740016"
522236540	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001750016"	"Casper & Mandrilaftalen. 06:48."	12-06-2012 12:01	"25850_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000001750016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/04-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001750016"
506072230	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001760016"	"Fup eller Fakta 03.12.1988."	12-06-2012 12:01	"63541_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000001760016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2009/12/20/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001760016"
803710760	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001770016"	"Kære fru lærer m. Signe K. MGP 2005."	12-06-2012 12:01	"58772_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000001770016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/14-09-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001770016"
518007670	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000001780016"	"Den gode, den onde og den Virk'li sjove 13.04.1991."	12-06-2012 12:01	"54328_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000001780016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/08-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001780016"
801972890	88	29-05-2012 18:51			"dka/00000000-0000-0000-0000-000001790016"	"Bamses Julerejse, 08:24"	12-06-2012 12:01	"46888_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000001790016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2009/12/6/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000001790016"
587001690	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-0000026c0016"	"Ugeavisen, afsnit 33"	12-06-2012 12:01	"65599_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000026C0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/4/8/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000026c0016"
830169930	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-0000026d0016"	"Rockerne 09:21 - Plankeværk."	12-06-2012 12:01	"27345_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000026D0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/3/10/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000026d0016"
830089150	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-0000026e0016"	"Bertelsen - De Uaktuelle Nyheder. 7:8"	12-06-2012 12:01	"23728_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000026E0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2010/12/21/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000026e0016"
808731790	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-0000026f0016"	"Ridder Ræddik 02:16"	12-06-2012 12:01	"64843_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000026F0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2010/11/26/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000026f0016"
505921880	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000002700016"	"Plade-parade"	12-06-2012 12:01	"53522_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000002700016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/04-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000002700016"
607803590	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000002710016"	"Svend Pri"	12-06-2012 12:01	"55145_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000002710016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/10-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000002710016"
101121000	88	29-05-2012 16:57			"dka/00000000-0000-0000-0000-000002720016"	"Krag meddeler sin afgang"	12-06-2012 12:01	"54854_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000002720016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/26-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000002720016"
901966300	88	29-05-2012 16:57			"dka/00000000-0000-0000-0000-000002730016"	"Hund og hund imellem. 03.01.1996."	12-06-2012 12:01	"54346_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-000002730016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/08-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000002730016"
808247390	88	29-05-2012 17:58			"dka/00000000-0000-0000-0000-000002740016"	"Koncert med beatgruppen ""Slade""."	12-06-2012 12:01	"64297_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000002740016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2010/5/12/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000002740016"
522236620	88	29-05-2012 16:57			"dka/00000000-0000-0000-0000-000002750016"	"Casper & Mandrilaftalen. 07:48."	12-06-2012 12:01	"25849_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-000002750016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/04-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000002750016"
